no,code,name,address
1,A0102,香港公園體育館,香港中環紅棉路29號
2,A1001,石塘咀體育館,香港皇后大道西470號石塘咀市政大廈5字樓
3,A1201,上環郵政局,香港上環德輔道中322至324號香港電訊CSL中心1樓
4,B0501,港灣婦女會,香港銅鑼灣摩頓台
5,B1101,循道衛理中心,香港灣仔軒尼詩道22號2樓
6,C0201,太古城郵政局,香港太古城太豐路1至3號金星閣地下G1020至1022號
7,C0501,筲箕灣郵政局,香港筲箕灣寶文街1號峻峰花園地下
8,C1701,聖公會聖米迦勒小學,香港北角炮台山道23號
9,C2002,顯理中學,香港北角城市花園道2號
10,C2201,香港遊樂場協會賽馬會北角港運城青少年綜合服務中心,香港北角丹拿道53號港運城2樓
11,C2401,丹拿山循道學校,香港北角百福道4號
12,C2701,佛教中華康山學校,香港鰂魚涌康愉街2號
13,C3001,西灣河體育館,香港西灣河筲箕灣道111號2樓
14,C3101,勵志會梁李秀娛紀念小學,香港筲箕灣耀興道25號
15,C3301,粵南信義會腓力堂興民幼兒學園,香港柴灣興民邨社區中心第3層
16,C3501,柴灣母嬰健康院,香港柴灣柴灣道233號新翠花園第6座政府大樓2樓
17,D0101,香港仔體育館,香港香港仔大道203號香港仔市政大廈6樓
18,D0701,海怡社區中心,香港鴨脷洲海怡半島東翼商場1樓
19,D0801,華貴社區會堂,香港華貴邨
20,D0901,明愛莊月明中學,香港薄扶林華富邨華富道53號
22,E0101,仁愛堂陳鄭玉而幼稚園,九龍尖沙咀柯士甸道西1號漾日居1樓(社區設施)104室
23,E0201,九龍公園體育館,九龍尖沙咀柯士甸道22號
24,E0501,油蔴地天主教小學(海泓道),九龍油麻地海泓道10號
25,E1401,界限街二號體育館,九龍旺角洗衣街200號
26,F0201,福榮街官立小學,九龍深水埗福榮街231號
27,F0601,北河街體育館,九龍深水埗基隆街333號北河街市政大廈6樓
28,F1301,博愛醫院美孚荔灣街坊會梁之潛伉儷長者健康支援及進修中心,九龍美孚新邨天橋底（荔灣街市側）
29,F1501,荔枝角社區會堂,九龍深水埗荔枝角道863號地下
30,F2001,大坑東社區中心,九龍大坑東棠蔭街17號
31,F2101,白田邨13座地下3-4號,九龍深水涉白田邨13座地下3-4號
32,G0301,保良局林文燦英文小學,九龍土瓜灣上鄉道24號
33,G0801,喇沙小學,九龍九龍城喇沙利道1號D
34,G1301,土瓜灣市政大廈室內羽毛球場,九龍土瓜灣馬頭圍道165號土瓜灣政府合署2樓
35,G1601,葛量洪校友會黃埔學校,九龍紅磡黃埔花園德安街30號
37,H0301,龍翔官立中學,九龍黃大仙馬仔坑道1號
38,H0501,鳳德社區中心,九龍鑽石山鳳德道111號鳳德邨
39,H0601,香港小童群益會賽馬會慈雲山青少年綜合服務中心,九龍鑽石山龍蟠苑商場2樓203號
40,H1501,竹園體育館,九龍黃大仙竹園道10號竹園北邨
41,H1601,慈雲山(南區)社區中心,九龍慈雲山雲華街45號
42,H2402,中華基督教會基華小學,九龍黃大仙彩虹邨黃菊路3號
43,J0401,仁濟醫院羅陳楚思中學,九龍九龍灣啟禮道10號
44,J0501,聖公會聖約翰小學,九龍清水灣道16號
45,J0801,寧波第二中學,九龍觀塘順天邨順安道9號
46,J1101,秀茂坪天主教小學,九龍觀塘秀茂坪寶達邨
47,J1601,藍田聖保祿中學,九龍藍田安田街10號
48,J2201,香港中國婦女會李樹培夫人啓知中心,九龍油塘高翔苑停車場3層2號
49,J2401,茜草灣鄰里社區中心,九龍觀塘茶果嶺道81號
50,J3101,聖公會基顯小學,九龍觀塘牛頭角上邨安善道
51,J3301,淘大花園聖德肋撒幼稚園,九龍牛頭角彩霞道1號淘大花園第2號平台
52,K0201,荃灣天主教小學,新界荃灣德華街37-41號
53,K0601,荃景圍體育館,新界荃灣美環街38號
54,K1301,惠荃體育館,新界荃灣廟崗街6號
55,K1601,香港道教聯合會圓玄學院石圍角小學,新界荃灣石圍角邨屋邨第二小學校舍
56,L0101,屯門大會堂展覽廳,新界屯門屯喜路3號1樓
57,L0501,順德聯誼總會譚伯羽中學,新界屯門友愛邨友愛路9號
58,L1201,救世軍三聖邨劉伍英學校,新界屯門青山公路三聖邨
59,L1501,南屯門官立中學,新界屯門湖山路218號
60,L1802,蝴蝶灣社區中心,新界屯門蝴蝶邨
61,L2101,香港紅卍字會屯門卍慈小學,新界屯門良景邨第一校舍
62,L2301,柏立基教育學院校友會何壽基學校,新界屯門田景邨第一號校舍
63,M0201,基督教香港信義會元朗信義書院,新界元朗安信街
64,M0702,鐘聲學校,新界元朗舊墟路29號
65,M0801,瑋琦文化教育機構殷翠幼稚園,新界元朗大棠路崇正新村153號地下
66,M1401,東華三院姚達之紀念小學,新界元朗天水圍天瑞邨第1期
67,M1901,順德聯誼總會伍冕端小學,新界元朗天水圍天恒邨
68,M2501,裘錦秋中學(元朗),新界元朗天水圍天湖路5號
69,M2601,香港青年協會李兆基小學,新界元朗天水圍天榮路11號
70,S0101,中華傳道會許大同學校,新界葵涌葵興邨
71,S1301,華景山莊北停車場地下會議室,新界葵涌葵華景山路9號華景山莊
72,S1701,荔景社區會堂,新界葵涌荔景山路205號
73,S1801,葵盛社區會堂,新界葵涌葵盛西邨第6座平台
74,S2301,長青邨社區中心,新界青衣青康路6號
75,S2401,青衣商會小學,新界育衣長康邨青康路12號
76,S2701,長亨社區會堂,新界青衣長亨邨
77,T0501,香港教育工作者聯會黃楚標中學,新界大嶼山東涌逸東邨第3期第10區
79,N0401,香海正覺蓮社佛教正覺蓮社學校,新界粉嶺一鳴路12號
80,N0701,聖公會嘉福榮真小學,新界粉嶺嘉福邨
81,N0803,古洞公立愛華學校,新界上水古洞村河上鄉路
82,N1203,香海正覺蓮社佛教陳式宏學校,新界上水石湖墟彩園邨
83,N1602,聯和墟社區會堂,新界粉嶺聯和墟和滿街9號
84,P0201,大埔官立中學,新界大埔安邦路12號
