code,LC1,LC2,LC3,LC4,LC5,DS,AF,A,B,C,D,E,F,G,K,M,U,V,X,Z
A0101,3930,0,0,0,0,3581,0,105,27,49,8,54,10,14,14,5,0,4,3,9
A0102,4589,0,0,0,0,3419,0,182,285,161,220,42,39,42,4,12,19,14,42,34
A0201,9489,0,0,0,0,7450,0,484,244,340,212,186,150,129,37,16,24,17,23,73
A0401,1296,0,0,0,0,921,0,55,82,35,63,15,35,42,1,3,13,4,2,9
A0501,10287,0,0,0,0,7821,0,640,302,406,294,223,149,153,41,9,28,17,29,70
A0601,6584,0,0,0,0,5853,0,217,55,116,38,98,26,29,30,5,0,8,5,26
A0701,7927,0,0,0,0,7259,0,201,50,95,50,110,22,17,24,4,4,4,3,11
A0801,8953,0,0,0,0,7979,0,290,21,156,37,176,31,39,45,6,2,6,4,36
A0901,8365,0,0,0,0,7277,0,299,65,174,111,142,44,45,45,8,0,5,9,36
A1001,10704,0,0,0,0,9964,0,261,14,88,17,108,19,13,45,4,4,9,1,13
A1101,2610,0,0,0,0,2462,0,36,1,28,1,34,4,4,10,0,2,2,0,3
A1102,2424,0,0,0,0,2243,0,63,5,22,2,19,6,6,7,0,0,4,1,6
A1201,5512,0,0,0,0,5018,0,131,25,69,20,74,19,13,25,6,3,3,7,12
A1301,2551,0,0,0,0,2257,0,98,22,39,17,38,12,13,13,1,1,4,1,5
A1302,4444,0,0,0,0,3986,0,128,25,46,38,77,20,19,15,1,2,8,4,15
A1401,6612,0,0,0,0,5889,0,269,28,72,23,110,23,25,47,3,1,10,3,21
A1501,5843,0,0,0,0,5204,0,229,17,73,34,103,18,21,45,4,2,7,3,17
B0101,7032,0,0,0,0,6505,0,167,26,71,28,71,12,18,20,3,2,14,4,16
B0201,5145,0,0,0,0,4746,0,137,11,49,9,56,13,7,21,2,2,14,3,10
B0301,6925,0,0,0,0,6075,1,212,86,119,98,74,49,55,15,7,9,21,11,13
B0401,6912,0,0,0,0,6315,0,199,27,65,28,71,19,22,20,8,3,13,8,18
B0501,5141,0,0,0,0,4285,0,256,84,126,78,69,40,42,25,5,6,18,6,43
B0601,5215,0,0,0,0,3914,0,249,170,209,169,65,128,123,12,8,20,13,23,46
B0701,5014,0,0,0,0,3983,0,181,139,152,190,74,85,56,15,4,16,18,30,31
B0801,5174,0,0,0,0,4414,0,217,75,99,67,76,37,52,24,7,5,10,8,31
B0901,1615,0,0,0,0,1242,0,69,42,53,74,20,28,16,1,3,7,6,10,11
B0902,1099,0,0,0,0,850,0,61,22,38,35,13,17,25,5,5,5,2,3,8
B1001,3133,0,0,0,0,2747,0,92,49,74,24,28,18,16,14,3,2,2,4,16
B1101,5158,0,0,0,0,4654,0,149,47,87,31,61,17,22,11,4,3,10,2,12
C0101,4162,0,0,0,0,3452,0,210,33,116,46,78,58,48,21,5,9,9,9,33
C0201,4578,0,0,0,0,3639,0,307,44,180,75,92,64,51,24,4,2,6,8,41
C0202,9438,0,0,0,0,7936,0,514,53,278,69,175,94,62,56,4,3,14,15,74
C0301,5949,0,0,0,0,4868,0,314,48,210,47,134,83,56,49,8,6,6,7,53
C0401,10889,0,0,0,0,10343,0,178,8,76,9,84,18,21,32,5,0,9,6,19
C0501,5369,0,0,0,0,5008,3,131,4,36,8,52,4,9,26,1,0,6,1,6
C0601,5445,0,0,0,0,5116,0,111,6,56,5,60,4,9,22,4,1,5,2,10
C0602,6550,0,0,0,0,6209,5,111,1,40,7,52,11,8,15,0,1,3,0,9
C0701,9957,0,0,0,0,8308,0,521,56,283,73,233,103,76,66,10,5,19,12,88
C0801,8137,0,0,0,0,7864,0,87,1,27,4,54,5,7,22,2,0,1,2,2
C0901,8643,0,0,0,0,7667,0,298,23,145,50,171,50,38,50,4,4,15,3,54
C1001,10076,0,0,0,0,9785,1,98,2,30,4,45,4,5,27,1,0,2,0,5
C1101,10921,0,0,0,0,10317,0,205,10,87,7,126,11,17,37,2,0,9,4,17
C1201,8316,0,0,0,0,8109,0,77,0,17,4,25,5,2,23,0,1,3,1,2
C1301,8765,0,0,0,0,8535,1,71,0,19,3,44,1,4,21,1,0,4,0,3
C1401,10283,0,0,0,0,9525,0,286,17,111,29,107,32,31,32,2,3,9,7,30
C1501,6533,0,0,0,0,5048,0,312,169,293,172,101,126,101,28,5,25,13,22,58
C1601,2033,0,0,0,0,1612,0,143,36,51,29,41,23,23,8,11,3,2,5,23
C1602,4256,0,0,0,0,4111,0,51,4,22,2,15,4,6,6,0,0,1,0,6
C1701,4530,0,0,0,0,3759,0,256,31,129,47,110,45,36,21,4,3,8,4,32
C1801,5388,0,0,0,0,4761,0,205,45,73,42,79,39,28,15,4,9,15,3,21
C1901,7571,0,0,0,0,6744,0,279,40,142,39,102,44,37,26,9,4,12,7,36
C2001,10487,0,0,0,0,9907,0,229,15,76,28,72,12,12,16,15,1,15,2,16
C2002,12828,0,0,0,0,11335,0,464,57,226,119,195,79,57,42,16,5,35,19,57
C2101,4867,0,0,0,0,4342,0,214,19,62,20,71,23,23,21,4,2,6,4,19
C2201,3075,0,0,0,0,2616,0,138,14,78,29,62,30,31,9,4,3,8,6,18
C2301,9020,0,0,0,0,8100,0,350,27,126,28,133,29,22,47,7,3,9,6,31
C2401,5093,0,0,0,0,4686,0,151,12,55,17,69,20,8,21,1,1,6,2,10
C2501,6201,0,0,0,0,5779,0,154,6,44,12,60,14,18,27,0,1,5,3,17
C2601,8155,0,0,0,0,7208,0,334,36,161,45,127,42,49,26,6,4,21,5,38
